4,Testing
52,RCMS - रास्ता विवाद
53,RCMS - भूमि वंटन
54,RCMS - डाईवर्जन/पुनः निर्धारण
55,RCMS - नजूल भूमि स्थायी पट्टे पर देना
57,RCMS - धारा 165 के उलन्घन में भूमि हस्तांतरण को रद्द करना
58,RCMS-भूमि का बटवारा
59,RCMS-कोटबार नियुक्ति
60,RCMS-वृक्ष काटने की अनुमति
61,RCMS-वन्दोबस्ती सम्बन्धी मामले
62,RCMS-वन्दोबस्ती अभिलेखा में सुधार
103,मध्य प्रदेश नर्सेस रजिस्ट्रेशन काउंसिल
108,नवीन ठेकेदार के पंजीकरण हेतु आवेदन
109,ठेकेदार द्वारा पंजीयन के नवीनीकरण हेतु आवेदन
110,इलेक्ट्रिकल क्लास एडिशन हेतु आवेदन
111,ठेकेदार पंजीकरण रद्द करने हेतु आवेदन
114,मदरसा पंजीयन
115,सोसाइटी पंजीयन
116,अधिवक्ताओं का नवीकरण (5 वर्ष से कम)
117,अधिवक्ताओं का नवीकरण (5 वर्ष से अधिक)
121,16.3(ब) नल जल योजना के तहत मांग पत्र अनुसार राशि जमा करने पर नवीन नल कनेक्शन प्रदाय करना ।
140,माइग्रेशन सर्टिफिकेट - देवी अहिल्या विश्वविद्यालय
141,प्रोविजनल सर्टिफिकेट के लिए आवेदन - देवी अहिल्या विश्वविद्यालय
142,आई.टी.आई. ऑनलाइन काउंसलिंग
145,14.2 पंजीकृत हितग्राहियों को आंगनबाड़ी में पोषण आहार प्राप्त नहीं होने पर उसे पात्रतानुसार दिलवाया जाना।
146,औषधि विक्रय हेतु अनुज्ञप्ति का आवेदन
147,औषधि विक्रय अनुज्ञप्ति का नवीनीकरण हेतु आवेदन।
148,एसिड का नवीन स्टॉकिस्ट लाइसेंस हेतु आवेदन
149,एसिड विक्रय हेतु परमिट हेतु आवेदन
150,मुख्यमंत्री स्वरोजगार योजना
151,मुख्यमंत्री युवा उद्यमी योजना
153,रेड बस टिकट बुकिंग
14,11.2(B) अजाक्स थाने से स्टेशन हाऊस ऑफिसर द्वारा फरियादी को एफ. आई. आर की प्रति न देने पर वरिष्ठ स्तर से एफ. आई. आर की प्रति प्रदान किया जाना
51,RCMS - अभिलेख दुरुस्ती
56,RCMS-आदिवासी की भूमि विक्रय की अनुमति
63,RCMS - भूमि का नामांतरण करना
98,12.1(ब)राज्य बीमारी सहायता निधि के अधीन जिला व संभाग स्तर पर रू. 1.00 लाख से अधिक एवं रू. 2.00 लाख तक के प्रकरण स्वीकृत किया जाना
99,(12.4) राष्ट्रीय टीकाकरण कार्यक्रम के अंतर्गत टीकाकरण करना
112,डुप्लीकेट मार्कशीट
19,11.6 (A) मर्ग इंटिमेशन की छायाप्रति देना
120,"16.3(अ) नल जल योजना के तहत ग्रामीण क्षेत्रों जहॉं तकनीकि रूप से साध्य हो, वहाँ नवीन नल कनेक्शन के लिए मांग पत्र प्रस्तुत किया जाना ।"
106,(5.4) पानी पीने योग्य है या नही संबंधी जांच कर रिपोर्ट देना
128,(8.1) म.प्र. अनु. जा./ज.जा. आकस्मिकता योजना नियम 1995 के अंतर्गत राहत प्राप्त न होने संबंधी आवेदन पत्रों का समाधान करना
107,(5.3) नगरीय क्षेत्रों के हैंडपंपों एवं ट्यूबवेल का सुधार करने संबंधी निर्देश
20,साइबर ट्रेजरी के माध्यम से चालान का भुगतान
